step,x,y,yaw,e_y,e_yaw,t,delta,v_ref,delta_ref
0,89629.9,43130.9,2.19853,-0.0053083,-0.0176953,0.299953,0,3,0
1,89629.7,43131.2,2.19853,-0.0106166,-0.0176953,0.599906,0,3,0
2,89629.5,43131.4,2.19853,-0.0159249,-0.0176953,0.899859,0,3,0
3,89629.4,43131.7,2.19853,-0.0212332,-0.0176953,1.19981,0,3,0
4,89629.2,43131.9,2.19853,-0.0265415,-0.0176953,1.49977,0,3,0
5,89629,43132.2,2.19771,-0.0318498,-0.0185177,1.79971,-0.00548251,3,0
6,89628.8,43132.4,2.19688,-0.0374048,-0.01934,2.09966,-0.00548251,3,0
7,89628.7,43132.6,2.19606,-0.0432065,-0.0201624,2.3996,-0.00548251,3,0
8,89628.5,43132.9,2.19524,-0.0492548,-0.0209848,2.69953,-0.00548251,3,0
9,89628.3,43133.1,2.19442,-0.0555498,-0.0218072,2.99946,-0.00548251,3,0
10,89628.1,43133.4,2.19359,-0.0620914,-0.0226296,3.29938,-0.00548251,3,0
11,89628,43133.6,2.19277,-0.0688797,-0.023452,3.5993,-0.00548251,3,0
12,89627.8,43133.9,2.19195,-0.0759146,-0.0242743,3.89921,-0.00548251,3,0
13,89627.6,43134.1,2.19113,-0.0831962,-0.0250967,4.19912,-0.00548251,3,0
14,89627.4,43134.3,2.19031,-0.0907244,-0.0259191,4.49902,-0.00548251,3,0
15,89627.3,43134.6,2.18986,-0.0984993,-0.0263604,4.79891,-0.0029419,3,0
16,89627.1,43134.8,2.18942,-0.106407,-0.0268017,5.0988,-0.0029419,3,0
17,89626.9,43135.1,2.18898,-0.114446,-0.027243,5.39869,-0.0029419,3,0
18,89626.7,43135.3,2.18854,-0.122618,-0.0276843,5.69858,-0.0029419,3,0
19,89626.6,43135.6,2.1881,-0.130922,-0.0281255,5.99846,-0.0029419,3,0
20,89626.4,43135.8,2.18766,-0.139359,-0.0285668,6.29834,-0.0029419,3,0
21,89626.2,43136.1,2.18722,-0.147928,-0.0290081,6.59821,-0.0029419,3,0
22,89626,43136.3,2.18678,-0.156629,-0.0294494,6.89808,-0.0029419,3,0
23,89625.9,43136.5,2.18633,-0.165462,-0.0298907,7.19795,-0.0029419,3,0
24,89625.7,43136.8,2.18589,-0.174428,-0.030332,7.49781,-0.0029419,3,0
25,89625.5,43137,2.18573,-0.183526,-0.0304978,7.79767,-0.00110535,3,0
26,89625.4,43137.3,2.18556,-0.192674,-0.0306636,8.09753,-0.00110535,3,0
27,89625.2,43137.5,2.1854,-0.201872,-0.0308294,8.39739,-0.00110535,3,0
28,89625,43137.8,2.18523,-0.211119,-0.0309952,8.69724,-0.00110535,3,0
29,89624.8,43138,2.18506,-0.220416,-0.031161,8.9971,-0.00110535,3,0
30,89624.7,43138.3,2.1849,-0.229763,-0.0313268,9.29695,-0.00110535,3,0
31,89624.5,43138.5,2.18473,-0.23916,-0.0314926,9.5968,-0.00110535,3,0
32,89624.3,43138.8,2.18457,-0.248606,-0.0316584,9.89665,-0.00110535,3,0
33,89624.1,43139,2.1844,-0.258102,-0.0318242,10.1965,-0.00110535,3,0
34,89624,43139.2,2.18423,-0.267647,-0.03199,10.4963,-0.00110535,3,0
35,89623.8,43139.5,2.18404,-0.277243,-0.0321804,10.7962,-0.00126916,3,0
36,89623.6,43139.7,2.18385,-0.286895,-0.0323707,11.096,-0.00126916,3,0
37,89623.4,43140,2.18366,-0.296605,-0.0325611,11.3959,-0.00126916,3,0
38,89623.3,43140.2,2.18347,-0.306371,-0.0327515,11.6957,-0.00126916,3,0
39,89623.1,43140.5,2.18328,-0.316195,-0.0329419,11.9955,-0.00126916,3,0
40,89622.9,43140.7,2.18309,-0.326076,-0.0331322,12.2954,-0.00126916,3,0
41,89622.8,43141,2.1829,-0.336014,-0.0333226,12.5952,-0.00126916,3,0
42,89622.6,43141.2,2.18271,-0.346009,-0.033513,12.895,-0.00126916,3,0
43,89622.4,43141.4,2.18252,-0.356061,-0.0337034,13.1949,-0.00126916,3,0
44,89622.2,43141.7,2.18233,-0.36617,-0.0338937,13.4947,-0.00126916,3,0
45,89622.1,43141.9,2.18205,-0.376336,-0.0341724,13.7945,-0.00185793,3,0
46,89621.9,43142.2,2.18177,-0.386586,-0.0344511,14.0944,-0.00185793,3,0
47,89621.7,43142.4,2.18149,-0.396919,-0.0347298,14.3942,-0.00185793,3,0
48,89621.6,43142.7,2.18122,-0.407336,-0.0350085,14.694,-0.00185793,3,0
49,89621.4,43142.9,2.18094,-0.417836,-0.0352872,14.9938,-0.00185793,3,0
50,89621.2,43143.2,2.18066,-0.42842,-0.0355659,15.2936,-0.00185793,3,0
51,89621,43143.4,2.18038,-0.439088,-0.0358446,15.5934,-0.00185793,3,0
52,89620.9,43143.7,2.1801,-0.449839,-0.0361233,15.8932,-0.00185793,3,0
53,89620.7,43143.9,2.17982,-0.460673,-0.0364019,16.193,-0.00185793,3,0
54,89620.5,43144.2,2.17954,-0.471592,-0.0366806,16.4928,-0.00185793,3,0
55,89620.4,43144.4,2.17884,-0.482593,-0.0373832,16.7926,-0.00468361,3,0
56,89620.2,43144.6,2.17814,-0.493806,-0.0380857,17.0924,-0.00468361,3,0
57,89620,43144.9,2.17744,-0.505229,-0.0387883,17.3922,-0.00468361,3,0
58,89619.8,43145.1,2.17673,-0.516862,-0.0394908,17.6919,-0.00468361,3,0
59,89619.7,43145.4,2.17603,-0.528706,-0.0401934,17.9917,-0.00468361,3,0
