step,x,y,yaw,e_y,e_yaw,t,delta,v_ref
0,89629.5,43131.5,2.19853,-0.0277204,0.0139709,0,0,10
1,89628.9,43132.3,2.20123,-0.01375,0.0166766,0,0.00541126,10
2,89628.3,43133.1,2.19673,0.00292581,0.0121705,0,-0.0090119,10
3,89627.7,43133.9,2.18826,0.015096,0.00369707,0,-0.0169453,10
4,89627.1,43134.7,2.18,0.0187931,-0.00456033,0,-0.0165133,10
5,89626.6,43135.6,2.17522,0.0142328,-0.00934151,0,-0.00956206,10
6,89626,43136.4,2.17513,0.00489139,-0.0094297,0,-0.000176398,10
7,89625.4,43137.2,2.17883,-0.00453818,-0.00572837,0,0.00740254,10
8,89624.9,43138,2.18408,-0.0102665,-0.000475883,0,0.0105046,10
9,89624.3,43138.9,2.18847,-0.0107424,0.00391637,0,0.00878427,10
10,89623.7,43139.7,2.19042,-0.00682604,0.00586352,0,0.00389428,10
11,89623.1,43140.5,2.18963,-0.00096256,0.00507582,0,-0.00157538,10
12,89622.5,43141.3,2.18697,0.00411324,0.00241533,0,-0.00532094,10
13,89622,43142.1,2.18388,0.00652857,-0.000679204,0,-0.00618899,10
14,89621.4,43142.9,2.18168,0.00584936,-0.00288312,0,-0.00440781,10
15,89620.8,43143.7,2.18107,0.00296624,-0.00349299,0,-0.00121974,10
16,89620.2,43144.6,2.18197,-0.000526744,-0.00258369,0,0.0018186,10
17,89619.7,43145.4,2.18374,-0.00311043,-0.000822773,0,0.00352183,10
18,89619.1,43146.2,2.18547,-0.00393321,0.000915072,0,0.00347568,10
19,89618.5,43147,2.1865,-0.00301814,0.00193931,0,0.00204848,10
20,89617.9,43147.8,2.18654,-0.00107882,0.00198298,0,8.73329e-05,10
21,89617.4,43148.7,2.18578,0.000904154,0.00122472,0,-0.00151652,10
22,89616.8,43149.5,2.18469,0.00212887,0.000128225,0,-0.00219299,10
23,89616.2,43150.3,2.18376,0.0022571,-0.000800261,0,-0.00185697,10
24,89615.6,43151.1,2.18334,0.00145684,-0.00122294,0,-0.000845366,10
25,89615.1,43151.9,2.18349,0.000233895,-0.00107191,0,0.000302062,10
26,89614.5,43152.7,2.18404,-0.000838018,-0.000522323,0,0.00109918,10
27,89613.9,43153.6,2.18468,-0.00136034,0.000126279,0,0.0012972,10
28,89613.3,43154.4,2.18515,-0.00123406,0.000594648,0,0.000936739,10
29,89612.8,43155.2,2.18529,-0.000639415,0.000731484,0,0.000273672,10
30,89612.2,43156,2.18511,9.20696e-05,0.00054836,0,-0.000366249,10
31,89611.6,43156.8,2.18474,0.000640429,0.000182516,0,-0.000731687,10
32,89611,43157.6,2.18438,0.000822945,-0.000183165,0,-0.000731362,10
33,89610.5,43158.5,2.18416,0.00063978,-0.000402444,0,-0.000438558,10
34,89609.9,43159.3,2.18414,0.000237336,-0.00041689,0,-2.88908e-05,10
35,89609.3,43160.1,2.1843,-0.000179554,-0.00026169,0,0.000310399,10
36,89608.7,43160.9,2.18453,-0.000441244,-3.28544e-05,0,0.000457671,10
37,89608.1,43161.7,2.18472,-0.000474098,0.000163356,0,0.000392421,10
38,89607.6,43162.6,2.18481,-0.000310743,0.000254982,0,0.000183252,10
39,89607,43163.4,2.18478,-5.57609e-05,0.00022629,0,-5.7384e-05,10
40,89606.4,43164.2,2.18467,0.000170529,0.00011282,0,-0.000226939,10
41,89605.8,43165,2.18454,0.000283349,-2.30835e-05,0,-0.000271807,10
42,89605.3,43165.8,2.18444,0.000260266,-0.000122573,0,-0.000198979,10
43,89604.7,43166.6,2.18441,0.000137693,-0.000153135,0,-6.11249e-05,10
44,89604.1,43167.5,2.18444,-1.54428e-05,-0.000116331,0,7.36085e-05,10
45,89603.5,43168.3,2.18452,-0.000131774,-4.03554e-05,0,0.000151952,10
46,89603,43169.1,2.18459,-0.000172129,3.65675e-05,0,0.000153846,10
47,89602.4,43169.9,2.18464,-0.000135562,8.34788e-05,0,9.38226e-05,10
48,89601.8,43170.7,2.18465,-5.20832e-05,8.76163e-05,0,8.27503e-06,10
49,89601.2,43171.5,2.18461,3.55331e-05,5.58798e-05,0,-6.3473e-05,10
50,89600.7,43172.4,2.18457,9.14129e-05,8.13867e-06,0,-9.54822e-05,10
51,89600.1,43173.2,2.18452,9.95516e-05,-3.33097e-05,0,-8.28967e-05,10
52,89599.5,43174,2.18451,6.62419e-05,-5.31445e-05,0,-3.96696e-05,10
53,89598.9,43174.8,2.18451,1.30974e-05,-4.77546e-05,0,1.07799e-05,10
54,89598.4,43175.6,2.18453,-3.46572e-05,-2.43408e-05,0,4.68276e-05,10
55,89597.8,43176.4,2.18456,-5.8998e-05,4.12657e-06,0,5.69347e-05,10
56,89597.2,43177.3,2.18458,-5.48714e-05,2.52498e-05,0,4.22465e-05,10
57,89596.6,43178.1,2.18459,-2.96216e-05,3.20485e-05,0,1.35973e-05,10
58,89596.1,43178.9,2.18458,2.4269e-06,2.4668e-05,0,-1.47609e-05,10
59,89595.5,43179.7,2.18457,2.70949e-05,8.89645e-06,0,-3.15431e-05,10
60,89594.9,43180.5,2.18455,3.59914e-05,-7.27939e-06,0,-3.23517e-05,10
61,89594.3,43181.4,2.18454,2.8712e-05,-1.73083e-05,0,-2.00578e-05,10
62,89593.7,43182.2,2.18454,1.14037e-05,-1.84081e-05,0,-2.19961e-06,10
63,89593.2,43183,2.18455,-7.00444e-06,-1.19247e-05,0,1.29668e-05,10
64,89592.6,43183.8,2.18456,-1.89292e-05,-1.96811e-06,0,1.99132e-05,10
65,89592,43184.6,2.18457,-2.08973e-05,6.78442e-06,0,1.75051e-05,10
66,89591.4,43185.4,2.18457,-1.41128e-05,1.10727e-05,0,8.5765e-06,10
67,89590.9,43186.3,2.18457,-3.04017e-06,1.00742e-05,0,-1.99693e-06,10
68,89590.3,43187.1,2.18456,7.03403e-06,5.24575e-06,0,-9.65691e-06,10
69,89589.7,43187.9,2.18456,1.22798e-05,-7.15312e-07,0,-1.19221e-05,10
70,89589.1,43188.7,2.18455,1.15645e-05,-5.19804e-06,0,-8.96545e-06,10
71,89588.6,43189.5,2.18455,6.36644e-06,-6.705e-06,0,-3.01394e-06,10
72,89588,43190.3,2.18455,-3.38561e-07,-5.22858e-06,0,2.95285e-06,10
73,89587.4,43191.2,2.18456,-5.56714e-06,-1.95601e-06,0,6.54514e-06,10
74,89586.8,43192,2.18456,-7.52314e-06,1.44445e-06,0,6.80092e-06,10
75,89586.3,43192.8,2.18456,-6.07869e-06,3.58704e-06,0,4.28517e-06,10
76,89585.7,43193.6,2.18456,-2.49165e-06,3.86629e-06,0,5.58509e-07,10
77,89585.1,43194.4,2.18456,1.37464e-06,2.54318e-06,0,-2.64623e-06,10
78,89584.5,43195.3,2.18456,3.91781e-06,4.67414e-07,0,-4.15152e-06,10
79,89584,43196.1,2.18456,4.38523e-06,-1.38016e-06,0,-3.69515e-06,10
80,89583.4,43196.9,2.18456,3.00507e-06,-2.30616e-06,0,-1.85199e-06,10
81,89582.8,43197.7,2.18456,6.98912e-07,-2.12449e-06,0,3.63332e-07,10
82,89582.2,43198.5,2.18456,-1.42557e-06,-1.12936e-06,0,1.99026e-06,10
83,89581.7,43199.3,2.18456,-2.55494e-06,1.18485e-07,0,2.49569e-06,10
84,89581.1,43200.2,2.18456,-2.43645e-06,1.06937e-06,0,1.90177e-06,10
85,89580.5,43201,2.18456,-1.36708e-06,1.40233e-06,0,6.65919e-07,10
86,89579.9,43201.8,2.18456,3.525e-08,1.10776e-06,0,-5.89129e-07,10
87,89579.4,43202.6,2.18456,1.14302e-06,4.29006e-07,0,-1.35752e-06,10
88,89578.8,43203.4,2.18456,1.57202e-06,-2.85604e-07,0,-1.42922e-06,10
89,89578.2,43204.2,2.18456,1.28641e-06,-7.43049e-07,0,-9.14891e-07,10
90,89577.6,43205.1,2.18456,5.43359e-07,-8.11784e-07,0,-1.3747e-07,10
91,89577,43205.9,2.18456,-2.68425e-07,-5.42057e-07,0,5.39454e-07,10
92,89576.5,43206.7,2.18456,-8.10476e-07,-1.09453e-07,0,8.65209e-07,10
93,89575.9,43207.5,2.18456,-9.19929e-07,2.80409e-07,0,7.79724e-07,10
94,89575.3,43208.3,2.18456,-6.39526e-07,4.80135e-07,0,3.99452e-07,10
95,89574.7,43209.1,2.18456,-1.59385e-07,4.47864e-07,0,-6.45415e-08,10
96,89574.2,43210,2.18456,2.88485e-07,2.429e-07,0,-4.09929e-07,10
97,89573.6,43210.8,2.18456,5.31381e-07,-1.8234e-08,0,-5.22268e-07,10
98,89573,43211.6,2.18456,5.13139e-07,-2.19846e-07,0,-4.03224e-07,10
99,89572.4,43212.4,2.18456,2.93287e-07,-2.93194e-07,0,-1.46696e-07,10
100,89571.9,43213.2,2.18456,9.17382e-11,-2.34592e-07,0,1.17204e-07,10
101,89571.3,43214.1,2.18456,-2.34501e-07,-9.38736e-08,0,2.81437e-07,10
102,89570.7,43214.9,2.18456,-3.28378e-07,5.62511e-08,0,3.00249e-07,10
103,89570.1,43215.7,2.18456,-2.72123e-07,1.53852e-07,0,1.95201e-07,10
104,89569.6,43216.5,2.18456,-1.1827e-07,1.7039e-07,0,3.30764e-08,10
105,89569,43217.3,2.18456,5.21197e-08,1.15464e-07,0,-1.09852e-07,10
106,89568.4,43218.1,2.18456,1.67582e-07,2.53377e-08,0,-1.80253e-07,10
107,89567.8,43219,2.18456,1.92915e-07,-5.68977e-08,0,-1.64471e-07,10
108,89567.3,43219.8,2.18456,1.36012e-07,-9.99252e-08,0,-8.60549e-08,10
109,89566.7,43220.6,2.18456,3.60839e-08,-9.4375e-08,0,1.11003e-08,10
110,89566.1,43221.4,2.18456,-5.82934e-08,-5.21836e-08,0,8.43829e-08,10
111,89565.5,43222.2,2.18456,-1.10481e-07,2.44391e-09,0,1.09255e-07,10
112,89565,43223,2.18456,-1.08039e-07,4.51698e-08,0,8.54518e-08,10
113,89564.4,43223.9,2.18456,-6.28745e-08,6.12835e-08,0,3.22274e-08,10
114,89563.8,43224.7,2.18456,-1.58509e-09,4.96632e-08,0,-2.32406e-08,10
115,89563.2,43225.5,2.18456,4.80809e-08,2.04993e-08,0,-5.83278e-08,10
116,89562.6,43226.3,2.18456,6.85734e-08,-1.10326e-08,0,-6.30639e-08,10
117,89562.1,43227.1,2.18456,5.75384e-08,-3.18424e-08,0,-4.16195e-08,10
118,89561.5,43228,2.18456,2.56951e-08,-3.57523e-08,0,-7.81979e-09,10
119,89560.9,43228.8,2.18456,-1.00603e-08,-2.45789e-08,0,2.23467e-08,10
120,89560.3,43229.6,2.18456,-3.46404e-08,-5.80748e-09,0,3.75429e-08,10
