step,x,y,yaw,e_y,e_yaw,t,delta,v_ref,delta_ref
0,89629.5,43131.5,2.19853,4.5961e-12,-6.32007e-08,1,-1.26401e-07,10,0
1,89628.9,43132.2,2.19775,0.00425405,0.00390671,1.90869,-0.00170536,9.08691,0.00183715
2,89628.5,43132.9,2.19384,0.00673844,0.00425098,2.73442,-0.0094699,8.2572,0.00350656
3,89628,43133.5,2.18562,0.00545014,-0.000111174,3.48476,-0.0219281,7.50323,0.00502355
4,89627.6,43134.1,2.18242,0.00424047,-0.00133599,4.23894,-0.00847522,7.5417,0.00506648
5,89627.1,43134.8,2.18202,0.00353407,-0.000531987,5.03329,-0.00101698,7.94334,0.00443969
6,89626.7,43135.5,2.17964,0.00255701,-0.00163825,5.86993,-0.0056858,8.36637,0.00377953
7,89626.1,43136.2,2.18327,-0.000451602,0.00332916,6.75111,0.00823282,8.81192,0.00308421
8,89625.6,43136.9,2.16133,0.00236411,-0.018496,7.66592,-0.0479107,9.14957,0.00254059
9,89625.1,43137.7,2.27644,-0.0151837,0.0965528,8.60979,0.238153,9.48296,0.00200081
10,89624.5,43138.5,-0.505848,0.0795918,-2.68579,7.7274,-1.396,9.82695,0.00144387
11,89625.3,43138,2.18539,-0.338908,0.00550205,8.6777,1.396,9.50537,0.00196453
12,89624.7,43138.8,2.00107,-0.333446,-0.178872,9.64709,-0.358053,9.8517,0.0014038
13,89624.3,43139.7,4.77935,-0.507395,2.59999,8.80635,1.396,9.8128,0.00125623
14,89624.4,43138.7,1.97678,0.00275492,-0.203167,9.77585,-1.396,9.89858,0.00132789
15,89624,43139.6,4.74778,-0.193985,2.56853,8.95354,1.396,9.78707,0.00125888
16,89624,43138.6,1.93027,0.345455,-0.249691,9.91784,-1.396,9.95137,0.00124196
17,89623.7,43139.5,4.69323,0.105136,2.5141,9.12784,1.396,9.7587,0.0012618
18,89623.7,43138.6,1.88558,0.687342,-0.294229,10.077,-1.396,9.91654,0.00124555
19,89623.4,43139.5,4.63954,0.405902,2.46055,9.32114,1.396,9.72691,0.00126507
20,89623.3,43138.5,1.84283,1.02793,-0.336817,10.2536,-1.396,9.87792,0.00124952
21,89623,43139.4,4.5868,0.708092,2.40796,9.53354,1.396,9.69162,0.0012687
22,89622.9,43138.4,1.80209,1.36689,-0.377366,10.4482,-1.396,9.83549,0.00125389
23,89622.7,43139.4,4.53506,1.01146,2.35639,9.76515,1.396,9.65275,0.0012727
24,89622.5,43138.4,1.76346,1.70389,-0.415802,10.6611,-1.396,9.78921,0.00125866
25,89622.3,43139.4,4.48438,1.31576,2.30589,10.0161,1.396,9.61021,0.00127708
26,89622.1,43138.4,1.72697,2.03864,-0.45207,10.8928,-1.396,9.73907,0.00126382
27,89622,43139.4,4.43478,1.6207,2.25649,10.2867,1.396,9.56391,0.00128185
28,89621.7,43138.4,1.69268,2.37087,-0.486126,11.1438,-1.396,9.68502,0.00126938
