time,x,y,s,e_y,e_psi,v,delta,ref_x,ref_y
0,89629.9,43130.9,0.208323,-0,0,4.16646,0.659265,89630.1,43130.7
0.05,89629.8,43131,0.414774,-1.04287e-12,0.134529,4.16667,0.659972,89630,43130.9
0.1,89629.6,43131.1,0.6156,0.0279425,0.269262,4.16667,0.659985,89629.8,43131
0.15,89629.5,43131.3,0.807162,0.0833633,0.403998,4.16667,0.659989,89629.7,43131.2
0.2,89629.3,43131.3,0.985987,0.165259,0.538736,4.16667,0.659992,89629.6,43131.3
0.25,89629.1,43131.4,1.14883,0.272144,0.673474,4.16667,0.659987,89629.5,43131.5
0.3,89628.9,43131.4,1.29275,0.402083,0.80821,4.16667,0.660004,89629.4,43131.7
0.35,89628.7,43131.4,1.41512,0.552719,0.942952,4.16667,0.660002,89629.4,43131.7
0.4,89628.4,43131.4,1.51374,0.721322,1.07769,4.16667,0.660001,89629.2,43131.8
0.45,89628.2,43131.3,1.58681,0.904836,1.21243,4.16667,0.660001,89629.1,43132
0.5,89628.1,43131.3,1.63301,1.09993,1.34717,4.16667,0.66,89629.1,43132
0.55,89627.9,43131.1,1.6515,1.30308,1.48191,4.16667,0.66,89629.1,43132
0.6,89627.7,43131,1.64195,1.51059,1.61666,4.16667,0.66,89629.1,43132
0.65,89627.6,43130.9,1.60453,1.71871,1.7514,4.16667,0.66,89629.1,43132
0.7,89627.4,43130.7,1.53992,1.92365,1.88614,4.16667,0.66,89629.1,43132
0.75,89627.3,43130.5,1.44929,2.12171,2.02088,4.16667,0.66,89629.1,43132
0.8,89627.3,43130.3,1.33428,2.3093,2.15562,4.16667,0.66,89629.2,43131.8
0.85,89627.2,43130.1,1.19698,2.48301,2.29036,4.16667,0.66,89629.2,43131.8
0.9,89627.2,43129.9,1.03987,2.63969,2.4251,4.16667,0.66,89629.4,43131.7
0.95,89627.2,43129.7,0.865806,2.77652,2.55984,4.16667,0.66,89629.5,43131.5
1,89627.3,43129.5,0.677943,2.89099,2.69458,4.16667,0.66,89629.6,43131.3
1.05,89627.3,43129.3,0.479685,2.98105,2.82932,4.16667,0.66,89629.7,43131.2
1.1,89627.4,43129.1,0.274626,3.04506,2.96406,4.16667,0.66,89629.8,43131
1.15,89627.5,43128.9,0.0664838,3.08185,3.0988,4.16667,0.66,89630,43130.9
1.2,89627.7,43128.8,-0.140969,3.09076,-3.04965,4.16667,0.66,89630.1,43130.7
1.25,89627.8,43128.6,-0.343973,3.07163,-2.9149,4.16667,0.66,89630.1,43130.7
1.3,89628,43128.5,-0.538846,3.02481,-2.78016,4.16667,0.66,89630.1,43130.7
1.35,89628.2,43128.4,-0.722057,2.95114,-2.64542,4.16667,0.66,89630.1,43130.7
1.4,89628.4,43128.4,-0.890285,2.85196,-2.51068,4.16667,0.66,89630.1,43130.7
1.45,89628.6,43128.3,-1.04048,2.72907,-2.37594,4.16667,0.66,89630.1,43130.7
1.5,89628.8,43128.3,-1.16992,2.58469,-2.2412,4.16667,0.66,89630.1,43130.7
1.55,89629,43128.3,-1.27625,2.42145,-2.10646,4.16667,0.66,89630.1,43130.7
1.6,89629.2,43128.4,-1.35756,2.2423,-1.97172,4.16667,0.66,89630.1,43130.7
1.65,89629.4,43128.5,-1.41236,2.05048,-1.83698,4.16667,0.66,89630.1,43130.7
1.7,89629.6,43128.6,-1.43967,1.84949,-1.70224,4.16667,0.66,89630.1,43130.7
1.75,89629.8,43128.7,-1.43898,1.64295,-1.5675,4.16667,0.66,89630.1,43130.7
1.8,89629.9,43128.8,-1.41031,1.43462,-1.43276,4.16667,0.66,89630.1,43130.7
1.85,89630,43129,-1.35419,1.22827,-1.29802,4.16667,0.66,89630.1,43130.7
1.9,89630.1,43129.2,-1.27162,1.02764,-1.16328,4.16667,0.66,89630.1,43130.7
1.95,89630.2,43129.4,-1.1641,0.836365,-1.02854,4.16667,0.66,89630.1,43130.7
2,89630.3,43129.6,-1.03359,0.657918,-0.893798,4.16667,0.66,89630.1,43130.7
2.05,89630.3,43129.8,-0.88245,0.495532,-0.759058,4.16667,0.66,89630.1,43130.7
2.1,89630.3,43130,-0.713417,0.352149,-0.624317,4.16667,0.66,89630.1,43130.7
2.15,89630.3,43130.2,-0.529556,0.230369,-0.489577,4.16667,0.66,89630.1,43130.7
2.2,89630.2,43130.4,-0.334201,0.132399,-0.354837,4.16667,0.66,89630.1,43130.7
2.25,89630.1,43130.6,-0.130893,0.0600166,-0.220096,4.16667,0.66,89630.1,43130.7
2.3,89630,43130.8,0.0766815,0.0145326,-0.0853557,4.16667,0.66,89630.1,43130.7
2.35,89629.9,43130.9,0.284761,-0.00322824,0.0493848,4.16667,0.66,89630.1,43130.7
2.4,89629.7,43131.1,0.489573,0.00705606,0.184125,4.16667,0.66,89630,43130.9
2.45,89629.6,43131.2,0.687404,0.0451991,0.318866,4.16667,0.66,89629.8,43131
2.5,89629.4,43131.3,0.874669,0.110509,0.453606,4.16667,0.66,89629.7,43131.2
2.55,89629.2,43131.4,1.04797,0.201803,0.588346,4.16667,0.66,89629.6,43131.3
2.6,89629,43131.4,1.20417,0.317425,0.723087,4.16667,0.66,89629.5,43131.5
2.65,89628.8,43131.4,1.34044,0.45528,0.857827,4.16667,0.66,89629.4,43131.7
2.7,89628.6,43131.4,1.4543,0.612868,0.992568,4.16667,0.66,89629.2,43131.8
2.75,89628.4,43131.4,1.5437,0.787333,1.12731,4.16667,0.66,89629.2,43131.8
2.8,89628.2,43131.3,1.607,0.975512,1.26205,4.16667,0.66,89629.1,43132
2.85,89628,43131.2,1.64307,1.17399,1.39679,4.16667,0.66,89629.1,43132
2.9,89627.8,43131.1,1.65125,1.37918,1.53153,4.16667,0.66,89629.1,43132
2.95,89627.7,43131,1.63139,1.58735,1.66627,4.16667,0.66,89629.1,43132
3,89627.5,43130.8,1.58385,1.79474,1.80101,4.16667,0.66,89629.1,43132
3.05,89627.4,43130.6,1.5095,1.99758,1.93575,4.16667,0.66,89629.1,43132
3.1,89627.3,43130.4,1.40967,2.19219,2.07049,4.16667,0.66,89629.1,43132
3.15,89627.3,43130.2,1.28619,2.37505,2.20523,4.16667,0.66,89629.2,43131.8
3.2,89627.2,43130,1.14128,2.54284,2.33997,4.16667,0.66,89629.4,43131.7
3.25,89627.2,43129.8,0.977585,2.69253,2.47471,4.16667,0.66,89629.4,43131.7
3.3,89627.2,43129.6,0.798059,2.82139,2.60945,4.16667,0.66,89629.5,43131.5
3.35,89627.3,43129.4,0.605961,2.92709,2.74419,4.16667,0.66,89629.6,43131.3
3.4,89627.4,43129.2,0.404773,3.00772,2.87893,4.16667,0.66,89629.7,43131.2
3.45,89627.5,43129,0.198142,3.06181,3.01367,4.16667,0.66,89629.8,43131
3.5,89627.6,43128.9,-0.0101865,3.08839,-3.13477,4.16667,0.66,89630,43130.9
3.55,89627.7,43128.7,-0.216436,3.08697,-3.00003,4.16667,0.66,89630.1,43130.7
3.6,89627.9,43128.6,-0.416867,3.05758,-2.86529,4.16667,0.66,89630.1,43130.7
3.65,89628.1,43128.5,-0.607847,3.00074,-2.73055,4.16667,0.66,89630.1,43130.7
3.7,89628.3,43128.4,-0.785914,2.9175,-2.59581,4.16667,0.66,89630.1,43130.7
3.75,89628.5,43128.4,-0.94784,2.80936,-2.46107,4.16667,0.66,89630.1,43130.7
3.8,89628.7,43128.3,-1.09069,2.67827,-2.32633,4.16667,0.66,89630.1,43130.7
3.85,89628.9,43128.3,-1.21187,2.52663,-2.19159,4.16667,0.66,89630.1,43130.7
3.9,89629.1,43128.4,-1.30919,2.35716,-2.05685,4.16667,0.66,89630.1,43130.7
3.95,89629.3,43128.4,-1.38089,2.17296,-1.92211,4.16667,0.66,89630.1,43130.7
4,89629.5,43128.5,-1.42565,1.97735,-1.78737,4.16667,0.66,89630.1,43130.7
4.05,89629.6,43128.6,-1.44268,1.77388,-1.65263,4.16667,0.66,89630.1,43130.7
4.1,89629.8,43128.7,-1.43166,1.56625,-1.51789,4.16667,0.66,89630.1,43130.7
4.15,89630,43128.9,-1.3928,1.35821,-1.38314,4.16667,0.66,89630.1,43130.7
4.2,89630.1,43129.1,-1.32679,1.15353,-1.2484,4.16667,0.66,89630.1,43130.7
4.25,89630.2,43129.2,-1.23484,0.955929,-1.11366,4.16667,0.66,89630.1,43130.7
4.3,89630.2,43129.4,-1.1186,0.768987,-0.978924,4.16667,0.66,89630.1,43130.7
4.35,89630.3,43129.6,-0.9802,0.596092,-0.844183,4.16667,0.66,89630.1,43130.7
4.4,89630.3,43129.9,-0.822133,0.440378,-0.709443,4.16667,0.66,89630.1,43130.7
4.45,89630.3,43130.1,-0.647267,0.304667,-0.574702,4.16667,0.66,89630.1,43130.7
4.5,89630.3,43130.3,-0.458774,0.19142,-0.439962,4.16667,0.66,89630.1,43130.7
4.55,89630.2,43130.5,-0.26007,0.10269,-0.305221,4.16667,0.66,89630.1,43130.7
4.6,89630.1,43130.6,-0.0547565,0.040085,-0.170481,4.16667,0.66,89630.1,43130.7
4.65,89630,43130.8,0.153444,0.00473987,-0.0357406,4.16667,0.66,89630.1,43130.7
4.7,89629.8,43131,0.360757,-0.0027045,0.0989998,4.16667,0.66,89630,43130.9
4.75,89629.7,43131.1,0.563425,0.0178868,0.23374,4.16667,0.66,89629.8,43131
4.8,89629.5,43131.2,0.757774,0.0661405,0.368481,4.16667,0.66,89629.7,43131.2
4.85,89629.3,43131.3,0.940281,0.141182,0.503221,4.16667,0.66,89629.6,43131.3
4.9,89629.1,43131.4,1.10764,0.241651,0.637962,4.16667,0.66,89629.5,43131.5
4.95,89628.9,43131.4,1.25681,0.365725,0.772702,4.16667,0.66,89629.4,43131.7
5,89628.7,43131.4,1.38509,0.511157,0.907442,4.16667,0.66,89629.4,43131.7
5.05,89628.5,43131.4,1.49016,0.67531,1.04218,4.16667,0.66,89629.2,43131.8
5.1,89628.3,43131.4,1.57012,0.855207,1.17692,4.16667,0.66,89629.2,43131.8
5.15,89628.1,43131.3,1.6235,1.04759,1.31166,4.16667,0.66,89629.1,43132
5.2,89627.9,43131.2,1.64935,1.24897,1.4464,4.16667,0.66,89629.1,43132
5.25,89627.8,43131.1,1.64719,1.45569,1.58114,4.16667,0.66,89629.1,43132
5.3,89627.6,43130.9,1.61707,1.66401,1.71589,4.16667,0.66,89629.1,43132
5.35,89627.5,43130.7,1.55953,1.87016,1.85063,4.16667,0.66,89629.1,43132
5.4,89627.4,43130.6,1.47562,2.07039,1.98537,4.16667,0.66,89629.1,43132
5.45,89627.3,43130.4,1.36684,2.26107,2.12011,4.16667,0.66,89629.2,43131.8
5.5,89627.2,43130.2,1.23519,2.43876,2.25485,4.16667,0.66,89629.2,43131.8
5.55,89627.2,43130,1.08304,2.60022,2.38959,4.16667,0.66,89629.4,43131.7
5.6,89627.2,43129.8,0.913153,2.74253,2.52433,4.16667,0.66,89629.5,43131.5
5.65,89627.2,43129.5,0.728606,2.86312,2.65907,4.16667,0.66,89629.5,43131.5
5.7,89627.3,43129.3,0.532745,2.95979,2.79381,4.16667,0.66,89629.6,43131.3
5.75,89627.4,43129.2,0.329122,3.03079,2.92855,4.16667,0.66,89629.7,43131.2
5.8,89627.5,43129,0.121427,3.07484,3.06329,4.16667,0.66,89629.8,43131
5.85,89627.6,43128.8,-0.0865748,3.09114,-3.08516,4.16667,0.66,89630,43130.9
5.9,89627.8,43128.7,-0.291113,3.07938,-2.95042,4.16667,0.66,89630.1,43130.7
5.95,89627.9,43128.6,-0.488479,3.0398,-2.81567,4.16667,0.66,89630.1,43130.7
6,89628.1,43128.5,-0.675095,2.97309,-2.68093,4.16667,0.66,89630.1,43130.7
6.05,89628.3,43128.4,-0.84758,2.88048,-2.54619,4.16667,0.66,89630.1,43130.7
6.1,89628.5,43128.3,-1.0028,2.76364,-2.41145,4.16667,0.66,89630.1,43130.7
6.15,89628.7,43128.3,-1.13796,2.62469,-2.27671,4.16667,0.66,89630.1,43130.7
6.2,89628.9,43128.3,-1.25059,2.46614,-2.14197,4.16667,0.66,89630.1,43130.7
6.25,89629.2,43128.4,-1.33865,2.29088,-2.00723,4.16667,0.66,89630.1,43130.7
6.3,89629.3,43128.4,-1.40056,2.10207,-1.87249,4.16667,0.66,89630.1,43130.7
6.35,89629.5,43128.5,-1.43518,1.90315,-1.73775,4.16667,0.66,89630.1,43130.7
6.4,89629.7,43128.7,-1.44189,1.69771,-1.60301,4.16667,0.66,89630.1,43130.7
6.45,89629.9,43128.8,-1.42056,1.48949,-1.46827,4.16667,0.66,89630.1,43130.7
6.5,89630,43129,-1.3716,1.28225,-1.33353,4.16667,0.66,89630.1,43130.7
6.55,89630.1,43129.1,-1.29587,1.07975,-1.19879,4.16667,0.66,89630.1,43130.7
6.6,89630.2,43129.3,-1.19476,0.885668,-1.06405,4.16667,0.66,89630.1,43130.7
6.65,89630.3,43129.5,-1.07009,0.703516,-0.929309,4.16667,0.66,89630.1,43130.7
6.7,89630.3,43129.7,-0.924138,0.536598,-0.794568,4.16667,0.66,89630.1,43130.7
6.75,89630.3,43129.9,-0.759534,0.38794,-0.659828,4.16667,0.66,89630.1,43130.7
6.8,89630.3,43130.1,-0.579267,0.260235,-0.525087,4.16667,0.66,89630.1,43130.7
6.85,89630.2,43130.3,-0.386605,0.1558,-0.390347,4.16667,0.66,89630.1,43130.7
6.9,89630.2,43130.5,-0.185041,0.0765276,-0.255606,4.16667,0.66,89630.1,43130.7
6.95,89630.1,43130.7,0.0217726,0.0238543,-0.120866,4.16667,0.66,89630.1,43130.7
7,89629.9,43130.9,0.230086,-0.00126487,0.0138745,4.16667,0.66,89630.1,43130.7
7.05,89629.8,43131,0.436123,0.00162557,0.148615,4.16667,0.66,89630,43130.9
7.1,89629.6,43131.2,0.636148,0.0324732,0.283355,4.16667,0.66,89629.8,43131
7.15,89629.4,43131.3,0.826537,0.0907188,0.418096,4.16667,0.66,89629.7,43131.2
7.2,89629.2,43131.3,1.00384,0.175306,0.552836,4.16667,0.66,89629.6,43131.3
7.25,89629,43131.4,1.16483,0.284703,0.687577,4.16667,0.66,89629.5,43131.5
7.3,89628.8,43131.4,1.30661,0.416925,0.822317,4.16667,0.66,89629.4,43131.7
7.35,89628.6,43131.4,1.42659,0.569576,0.957058,4.16667,0.66,89629.2,43131.8
7.4,89628.4,43131.4,1.52261,0.739889,1.0918,4.16667,0.66,89629.2,43131.8
7.45,89628.2,43131.3,1.59293,0.924776,1.22654,4.16667,0.66,89629.1,43132
7.5,89628,43131.2,1.63626,1.12089,1.36128,4.16667,0.66,89629.1,43132
7.55,89627.9,43131.1,1.65182,1.32466,1.49602,4.16667,0.66,89629.1,43132
7.6,89627.7,43131,1.63934,1.53241,1.63076,4.16667,0.66,89629.1,43132
7.65,89627.6,43130.8,1.59903,1.74037,1.7655,4.16667,0.66,89629.1,43132
7.7,89627.4,43130.7,1.53163,1.94477,1.90024,4.16667,0.66,89629.1,43132
7.75,89627.3,43130.5,1.43836,2.1419,2.03498,4.16667,0.66,89629.1,43132
7.8,89627.3,43130.3,1.32091,2.32819,2.16972,4.16667,0.66,89629.2,43131.8
7.85,89627.2,43130.1,1.18141,2.50026,2.30446,4.16667,0.66,89629.2,43131.8
7.9,89627.2,43129.9,1.02239,2.65499,2.4392,4.16667,0.66,89629.4,43131.7
7.95,89627.2,43129.7,0.84673,2.78959,2.57394,4.16667,0.66,89629.5,43131.5
8,89627.3,43129.5,0.657616,2.9016,2.70868,4.16667,0.66,89629.6,43131.3
8.05,89627.3,43129.3,0.458475,2.989,2.84342,4.16667,0.66,89629.7,43131.2
8.1,89627.4,43129.1,0.252917,3.0502,2.97816,4.16667,0.66,89629.8,43131
8.15,89627.5,43128.9,0.0446699,3.08409,3.1129,4.16667,0.66,89630,43130.9
8.2,89627.7,43128.8,-0.162493,3.09007,-3.03554,4.16667,0.66,89630.1,43130.7
8.25,89627.8,43128.6,-0.364816,3.06802,-2.9008,4.16667,0.66,89630.1,43130.7
8.3,89628,43128.5,-0.558631,3.01834,-2.76606,4.16667,0.66,89630.1,43130.7
8.35,89628.2,43128.4,-0.740425,2.94193,-2.63132,4.16667,0.66,89630.1,43130.7
8.4,89628.4,43128.4,-0.906902,2.84017,-2.49658,4.16667,0.66,89630.1,43130.7
8.45,89628.6,43128.3,-1.05505,2.71492,-2.36184,4.16667,0.66,89630.1,43130.7
8.5,89628.8,43128.3,-1.18217,2.56844,-2.2271,4.16667,0.66,89630.1,43130.7
8.55,89629,43128.3,-1.28597,2.40339,-2.09236,4.16667,0.66,89630.1,43130.7
8.6,89629.2,43128.4,-1.36456,2.22275,-1.95762,4.16667,0.66,89630.1,43130.7
8.65,89629.4,43128.5,-1.41652,2.02981,-1.82288,4.16667,0.66,89630.1,43130.7
8.7,89629.6,43128.6,-1.44091,1.82806,-1.68814,4.16667,0.66,89630.1,43130.7
8.75,89629.8,43128.7,-1.43729,1.62116,-1.5534,4.16667,0.66,89630.1,43130.7
8.8,89629.9,43128.8,-1.40571,1.41286,-1.41866,4.16667,0.66,89630.1,43130.7
8.85,89630,43129,-1.34676,1.20693,-1.28391,4.16667,0.66,89630.1,43130.7
8.9,89630.1,43129.2,-1.2615,1.00712,-1.14917,4.16667,0.66,89630.1,43130.7
8.95,89630.2,43129.4,-1.15148,0.817026,-1.01443,4.16667,0.66,89630.1,43130.7
9,89630.3,43129.6,-1.01869,0.640113,-0.879693,4.16667,0.66,89630.1,43130.7
9.05,89630.3,43129.8,-0.865544,0.479584,-0.744953,4.16667,0.66,89630.1,43130.7
9.1,89630.3,43130,-0.694809,0.338347,-0.610212,4.16667,0.66,89630.1,43130.7
9.15,89630.3,43130.2,-0.509585,0.218963,-0.475472,4.16667,0.66,89630.1,43130.7
9.2,89630.2,43130.4,-0.313228,0.123597,-0.340732,4.16667,0.66,89630.1,43130.7
9.25,89630.1,43130.6,-0.109299,0.0539765,-0.205991,4.16667,0.66,89630.1,43130.7
9.3,89630,43130.8,0.0985054,0.0113646,-0.0712507,4.16667,0.66,89630.1,43130.7
9.35,89629.9,43130.9,0.306419,-0.00346679,0.0634897,4.16667,0.66,89630.1,43130.7
9.4,89629.7,43131.1,0.510672,0.00975135,0.19823,4.16667,0.66,89629.8,43131
9.45,89629.6,43131.2,0.707563,0.0507794,0.332971,4.16667,0.66,89629.7,43131.2
9.5,89629.4,43131.3,0.893522,0.118874,0.467711,4.16667,0.66,89629.6,43131.3
9.55,89629.2,43131.4,1.06518,0.212799,0.602451,4.16667,0.66,89629.6,43131.3
9.6,89629,43131.4,1.21942,0.330854,0.737192,4.16667,0.66,89629.5,43131.5
9.65,89628.8,43131.4,1.35345,0.470899,0.871932,4.16667,0.66,89629.4,43131.7
9.7,89628.6,43131.4,1.46484,0.630393,1.00667,4.16667,0.66,89629.2,43131.8
9.75,89628.4,43131.4,1.55157,0.806447,1.14141,4.16667,0.66,89629.2,43131.8
9.8,89628.2,43131.3,1.61207,0.995868,1.27615,4.16667,0.66,89629.1,43132
9.85,89628,43131.2,1.64524,1.19522,1.41089,4.16667,0.66,89629.1,43132
9.9,89627.8,43131.1,1.65048,1.4009,1.54563,4.16667,0.66,89629.1,43132
9.95,89627.6,43130.9,1.6277,1.60917,1.68037,4.16667,0.66,89629.1,43132
10,89627.5,43130.8,1.57731,1.81625,1.81512,4.16667,0.66,89629.1,43132
10.05,89627.4,43130.6,1.50021,2.0184,1.94986,4.16667,0.66,89629.1,43132
10.1,89627.3,43130.4,1.39782,2.21194,2.0846,4.16667,0.66,89629.1,43132
10.15,89627.2,43130.2,1.27198,2.39337,2.21934,4.16667,0.66,89629.2,43131.8
