default,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0,0.1,0.2,0.3,0.4,0.5,0.6
-12,-0.825,-0.765,-0.705,-0.645,-0.585,-0.525,-0.465,-0.405,-0.345,-0.285,-0.225,-0.165,-0.105
-10,-0.705,-0.66,-0.615,-0.57,-0.525,-0.48,-0.435,-0.39,-0.345,-0.3,-0.255,-0.21,-0.165
-8,-0.555,-0.51,-0.558,-0.504,-0.45,-0.396,-0.342,-0.288,-0.234,-0.18,-0.126,-0.06,-0.015
-6,-0.435,-0.39,-0.414,-0.36,-0.306,-0.252,-0.198,-0.144,-0.09,-0.036,0.018,0.06,0.105
-4,-0.33,-0.285,-0.288,-0.234,-0.22,-0.154,-0.088,-0.022,0.044,0.09,0.144,0.165,0.21
-2,-0.21,-0.18,-0.18,-0.144,-0.132,-0.088,-0.044,0.0,0.044,0.072,0.108,0.12,0.15
0,-0.105,-0.09,-0.09,-0.072,-0.066,-0.044,-0.022,0.0,0.022,0.036,0.054,0.06,0.075
2,0.0,-0.015,-0.036,-0.054,-0.088,-0.11,-0.132,-0.154,-0.176,-0.162,-0.18,-0.165,-0.18
4,0.15,0.12,0.108,0.072,0.044,0.0,-0.044,-0.088,-0.132,-0.144,-0.18,-0.18,-0.21
6,0.27,0.225,0.216,0.162,0.108,0.054,0.0,-0.054,-0.108,-0.162,-0.216,-0.225,-0.27
8,0.39,0.345,0.36,0.306,0.252,0.198,0.144,0.09,0.036,-0.018,-0.072,-0.105,-0.15
10,0.495,0.45,0.405,0.36,0.315,0.27,0.225,0.18,0.135,0.09,0.045,0.0,-0.045
12,0.6,0.555,0.51,0.465,0.42,0.375,0.33,0.285,0.24,0.195,0.15,0.105,0.06
