s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.7820406,43128.8772790,-1.8093387,-0.0565546,12.920562288697392,0.9999999999999891
0.9990283,89656.5186579,43127.9135948,-1.8802244,-0.0853589,12.997653118776395,-3.9893551528159734
1.9979983,89656.1741753,43126.9758994,-1.9826008,-0.1196124,12.687336005056794,-9.897857577606752
2.9968662,89655.7204227,43126.0860423,-2.1104444,-0.1363632,11.882558246912835,0.7565021675373319
3.9956539,89655.1500911,43125.2661041,-2.2459240,-0.1349192,11.945976751511209,0.9999999999999992
4.9944019,89654.4748015,43124.5302497,-2.3764856,-0.1265224,12.02929161348437,0.9999999999999925
5.9931779,89653.7121356,43123.8853512,-2.4943110,-0.1094128,12.1120356907585,1.0000000000000033
6.9920259,89652.8836234,43123.3274401,-2.5927497,-0.0876934,12.194224227398264,1.0000000000000047
7.9909426,89652.0094195,43122.8441158,-2.6702824,-0.0675427,12.275868122970936,0.9999999999999967
8.9899128,89651.1045706,43122.4208075,-2.7290109,-0.0500378,12.356976918354665,1.0000000000000067
9.9889062,89650.1796794,43122.0432310,-2.7747177,-0.0414701,12.437558654841848,1.000000000000011
10.9878756,89649.2399666,43121.7042919,-2.8206124,-0.0504167,12.517619745402214,1.0000000000000084
11.9867717,89648.2844527,43121.4131105,-2.8804514,-0.0693967,12.597166200883935,0.9999999999999962
12.9855686,89647.3111625,43121.1888307,-2.9583826,-0.0866533,12.676205666023767,1.000000000000003
13.9842888,89646.3222048,43121.0495299,-3.0495750,-0.0959655,12.754749330924605,0.9999999999999981
14.9829365,89645.3245279,43121.0055075,3.1343803,-0.1027644,12.832806623433255,1.0000000000000075
15.9815050,89644.3276690,43121.0639154,3.0290335,-0.1082257,12.91038585537464,1.0000000000000084
16.9800504,89643.3429483,43121.2294992,2.9218735,-0.1063981,12.987499900694175,0.9999999999999992
17.9786516,89642.3812861,43121.4985905,2.8204553,-0.0967187,13.064163043550845,1.0000000000000067
18.9773519,89641.4499644,43121.8592043,2.7309084,-0.0826086,13.140386476853669,0.9999999999999989
19.9761632,89640.5514299,43122.2953922,2.6565392,-0.0663098,13.216178701879064,1.0000000000000038
20.9750665,89639.6836552,43122.7901392,2.5981724,-0.0505550,13.291545651312248,1.0000000000000118
21.9740318,89638.8419092,43123.3280939,2.5544000,-0.0370821,13.36649229671009,0.9999999999999885
22.9730355,89638.0206326,43123.8968762,2.5230173,-0.0257469,13.441023915016556,0.9999999999999905
23.9720627,89637.2142372,43124.4866065,2.5023366,-0.0156551,13.5151462554286,1.0000000000000113
24.9711019,89636.4171538,43125.0888832,2.4911360,-0.0067679,13.588865167932763,0.999999999999993
25.9701441,89635.6241585,43125.6965375,2.4872553,-0.0010010,13.662186535433609,1.000000000000008
26.9691863,89634.8317711,43126.3049845,2.4869605,0.0004108,13.735116510437795,1.000000000000005
27.9682282,89634.0391344,43126.9131059,2.4852419,-0.0038514,13.807661250644143,1.000000000000006
