s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.4860263,43128.9601445,-1.8566728,-0.0630916, 9.8081139, -5.1910739
0.9645738,89656.1859878,43128.0434223,-1.9268046,-0.0827747, 9.2642786, -1.1713363
1.9238560,89655.8160254,43127.1583516,-2.0149264,-0.1012196, 9.1370904, -0.3877113
2.8762569,89655.3655510,43126.3192210,-2.1176773,-0.1144652, 9.0945994, -0.3877113
3.8233009,89654.8297242,43125.5383356,-2.2290047,-0.1203655, 9.0519090, 0.7791217
4.7674081,89654.2106055,43124.8255730,-2.3425035,-0.1199595, 9.1374949, 0.5228389
5.7094429,89653.5165083,43124.1886597,-2.4539478,-0.1168708, 9.1944816, 2.0276300
6.6475225,89652.7599517,43123.6340287,-2.5626120,-0.1152747, 9.4122198, 3.9057897
7.5777536,89651.9549595,43123.1678556,-2.6707972,-0.1177857, 9.8180449, 4.8481531
8.4966579,89651.1144302,43122.7965125,-2.7817082,-0.1236727, 10.2995660, 4.8027450
9.4043293,89650.2481241,43122.5256230,-2.8962107,-0.1278704, 10.7553420, 4.7577623
10.3065036,89649.3617367,43122.3575881,-3.0100520,-0.1230730, 11.1885578, -3.7026709
11.2134245,89648.4574354,43122.2887066,-3.1143611,-0.1058621, 10.8529052, -1.8281422
12.1352333,89647.5358254,43122.3078534,3.0827912,-0.0807722, 10.6832933, -1.7710401
13.0768650,89646.5985321,43122.3981389,3.0184855,-0.0564555, 10.5163708, -1.8122499
14.0361203,89645.6500034,43122.5411916,2.9728688,-0.0392661, 10.3427760, -0.4967831
15.0057371,89644.6973911,43122.7219856,2.9389799,-0.0309855, 10.2946781, -0.4967831
15.9775327,89643.7485193,43122.9318165,2.9094219,-0.0300184, 10.2463544, -0.2127418
16.9460067,89642.8093806,43123.1683761,2.8785048,-0.0339135, 10.2255905, 1.1258149
17.9091161,89641.8836488,43123.4340833,2.8421907,-0.0416169, 10.3349979, 2.4303287
18.8650692,89640.9760568,43123.7342885,2.8006139,-0.0456323, 10.5673176, 3.9820148
19.8089641,89640.0935997,43124.0692617,2.7692144,-0.0206761, 10.9373045, 4.7392595
20.7364386,89639.2330239,43124.4151202,2.7624635,0.0066210, 11.3619586, 4.6948714
21.6448208,89638.3881200,43124.7487304,2.7571032,-0.0190327, 11.7675352, 4.6508990
22.5307384,89637.5697864,43125.0881123,2.7131240,-0.0809730, 12.1559782, 4.6073384
23.4034931,89636.7894399,43125.4789577,2.6414363,-0.0776147, 12.5289141, 4.5641858
24.3265014,89635.9949465,43125.9487710,2.6327203,0.0452962, 12.8877208, 4.5214374
25.4370806,89635.0139861,43126.4694464,2.6936367,0.0583075, 13.2335782, 4.4790894
26.8094857,89633.7583970,43127.0235147,2.7199048,-0.0080383, 13.5675061, 4.4371380
28.3291640,89632.3752954,43127.6531591,2.6658678,-0.0646976, 13.8903934, 4.3955796
29.8291081,89631.0772713,43128.4048012,2.5379900,-0.1116876, 14.2030207, 4.3544103
31.2388131,89629.9876864,43129.2992692,2.3712892,-0.1209930, 14.5060783, 4.0388825
32.6097257,89629.0886771,43130.3342491,2.2120995,-0.1137547, 14.7816225, 2.6500026
33.9091641,89628.3947760,43131.4329035,2.0982043,-0.0637262, 14.9596561, -1.0392877
35.0364495,89627.8682265,43132.4296573,2.0969029,0.0836964, 14.8900879, -1.0392877
35.9948245,89627.3484100,43133.2348116,2.2102571,0.1478962, 14.8201932, -0.5278977
36.8897860,89626.7648169,43133.9133211,2.2426246,-0.0914199, 14.7845642, 1.2132361
37.7322022,89626.2678865,43134.5935602,2.1015360,-0.2286078, 14.8663208, 3.5565045
38.6085764,89625.8990069,43135.3885191,1.9769651,-0.0557425, 15.1034339, 4.2307170
39.6234311,89625.5209338,43136.3303210,1.9410310,-0.0208395, 15.3807371, 4.1910918
40.7279605,89625.1321879,43137.3641787,1.9010994,-0.0545000, 15.6505993, 4.1518378
41.8052888,89624.8136052,43138.3933245,1.8203490,-0.1136004, 15.9134223, 4.1129515
42.6971392,89624.6466124,43139.2694014,1.7280672,-0.0932225, 16.1695721, 4.0744294
43.3640650,89624.5696222,43139.9318684,1.6783128,-0.0289312, 16.4193832, 4.0362681
43.9296735,89624.5143550,43140.4947703,1.6506478,-0.0626977, 16.6631623, 3.9984642
44.5044135,89624.4786750,43141.0684017,1.6331572,0.0007534, 16.9011915, 3.9610143
45.1429249,89624.4387447,43141.7056633,1.6894430,0.1460888, 17.1337311, 3.9239153
45.9104737,89624.3124593,43142.4627519,1.7595747,0.0520403, 17.3610219, 3.8871637
46.8134599,89624.1253272,43143.3461350,1.7729157,-0.0138090, 17.5832872, 3.8507563
