s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.4730813,43128.9639691,-1.8594780,-0.0666117,18.415839,0.0
0.6996489,89656.2583253,43128.2980949,-1.9097439,-0.0770829,18.415839,0.0
1.3992278,89656.0080146,43127.6448299,-1.9680796,-0.0896892,18.415839,0.0
2.0987602,89655.7172550,43127.0085874,-2.0354426,-0.1029004,18.415839,0.0
2.7982842,89655.3814941,43126.3949113,-2.1107314,-0.1123555,18.415839,0.0
3.4978076,89654.9985876,43125.8094921,-2.1918750,-0.1196469,18.415839,0.0
4.1972974,89654.5681033,43125.2581581,-2.2752244,-0.1186681,18.415839,0.0
4.8967526,89654.0934136,43124.7444390,-2.3589110,-0.1206127,18.415839,0.0
5.5962328,89653.5771054,43124.2725297,-2.4422827,-0.1177755,18.415839,0.0
6.2957012,89653.0237252,43123.8447140,-2.5236305,-0.1148168,18.415839,0.0
6.9951971,89652.4377836,43123.4626576,-2.6049201,-0.1176084,18.415839,0.0
7.6947085,89651.8224147,43123.1300357,-2.6876542,-0.1189465,18.415839,0.0
8.3941958,89651.1815535,43122.8497155,-2.7732027,-0.1256642,18.415839,0.0
9.0936213,89650.5186174,43122.6267542,-2.8606549,-0.1243941,18.415839,0.0
9.7930427,89649.8388187,43122.4622427,-2.9475714,-0.1241353,18.415839,0.0
10.4925096,89649.1472700,43122.3572939,-3.0327376,-0.1193765,18.415839,0.0
11.1920575,89648.4492965,43122.3103859,-3.1117018,-0.1063920,18.415839,0.0
11.8916252,89647.7497476,43122.3155083,3.1044235,-0.0853257,18.415839,0.0
12.5912237,89647.0517194,43122.3623566,3.0509231,-0.0676199,18.415839,0.0
13.2908674,89646.3566428,43122.4421678,3.0088383,-0.0526852,18.415839,0.0
13.9905468,89645.6649444,43122.5475462,2.9756915,-0.0420653,18.415839,0.0
14.6902386,89644.9766345,43122.6732366,2.9490261,-0.0341560,18.415839,0.0
15.3899298,89644.2915253,43122.8153391,2.9263566,-0.0306423,18.415839,0.0
16.0896221,89643.6096189,43122.9720970,2.9046637,-0.0313647,18.415839,0.0
16.7893149,89642.9313161,43123.1437809,2.8818109,-0.0339579,18.415839,0.0
17.4890039,89642.2572873,43123.3315302,2.8565322,-0.0382993,18.415839,0.0
18.1886873,89641.5885364,43123.5372707,2.8284708,-0.0419124,18.415839,0.0
18.8883691,89640.9261072,43123.7625307,2.7999491,-0.0396145,18.415839,0.0
19.5880593,89640.2701673,43124.0060658,2.7774212,-0.0247796,18.415839,0.0
20.2877630,89639.6185358,43124.2609414,2.7657203,-0.0086659,18.415839,0.0
20.9874724,89638.9684564,43124.5197657,2.7604209,-0.0064817,18.415839,0.0
21.6871784,89638.3195607,43124.7815343,2.7477888,-0.0296265,18.415839,0.0
22.3868528,89637.6762593,43125.0566845,2.7147108,-0.0649304,18.415839,0.0
23.0864691,89637.0461692,43125.3607395,2.6690331,-0.0656398,18.415839,0.0
23.7861226,89636.4306692,43125.6934177,2.6399346,-0.0175423,18.415839,0.0
24.4858218,89635.8192588,43126.0336474,2.6461033,0.0351740,18.415839,0.0
25.1855104,89635.1996704,43126.3587233,2.6769949,0.0531289,18.415839,0.0
25.8851665,89634.5684581,43126.6605341,2.7062808,0.0305815,18.415839,0.0
26.5848746,89633.9308855,43126.9487920,2.7146999,-0.0065145,18.415839,0.0
27.2845817,89633.2946344,43127.2399526,2.7069952,-0.0155084,18.415839,0.0
27.9842763,89632.6615915,43127.5379948,2.6789963,-0.0645325,18.415839,0.0
28.6838681,89632.0427365,43127.8642573,2.6330062,-0.0669278,18.415839,0.0
29.3835369,89631.4397651,43128.2191684,2.5747521,-0.0996460,18.415839,0.0
30.0828721,89630.8632510,43128.6150235,2.4997328,-0.1148077,18.415839,0.0
30.7824712,89630.3201446,43129.0560160,2.4202439,-0.1125274,18.415839,0.0
31.4817557,89629.8136206,43129.5381282,2.3363496,-0.1273031,18.415839,0.0
32.1813816,89629.3517497,43130.0636297,2.2541403,-0.1078011,18.415839,0.0
32.8807960,89628.9309088,43130.6222649,2.1803908,-0.1030229,18.415839,0.0
33.5804323,89628.5512642,43131.2099391,2.1224314,-0.0626937,18.415839,0.0
34.2800731,89628.1977513,43131.8136989,2.0948497,-0.0161513,18.415839,0.0
34.9797492,89627.8510661,43132.4214455,2.1144733,0.0722510,18.415839,0.0
35.6793543,89627.4741536,43133.0108387,2.1764788,0.1050083,18.415839,0.0
36.3789064,89627.0550306,43133.5709360,2.2201953,0.0199656,18.415839,0.0
37.0785451,89626.6280725,43134.1251934,2.1870893,-0.1146742,18.415839,0.0
37.7777352,89626.2471379,43134.7115000,2.0888784,-0.1661229,18.415839,0.0
38.4771651,89625.9366233,43135.3382240,2.0003839,-0.0869524,18.415839,0.0
39.1768298,89625.6646902,43135.9828814,1.9560046,-0.0399337,18.415839,0.0
39.8765260,89625.4108617,43136.6349135,1.9307799,-0.0321708,18.415839,0.0
40.5762066,89625.1717786,43137.2924788,1.9000494,-0.0556733,18.415839,0.0
41.2758448,89624.9584969,43137.9588155,1.8530044,-0.0788199,18.415839,0.0
41.9753692,89624.7822919,43138.6357838,1.7902561,-0.1005599,18.415839,0.0
42.6749647,89624.6540936,43139.3235331,1.7258694,-0.0835123,18.415839,0.0
43.3746143,89624.5662675,43140.0176484,1.6784479,-0.0520499,18.415839,0.0
44.0742939,89624.5037693,43140.7145312,1.6549116,-0.0152292,18.415839,0.0
44.7739906,89624.4486990,43141.4120573,1.6715464,0.0627898,18.415839,0.0
45.4735480,89624.3630668,43142.1063539,1.7213281,0.0795097,18.415839,0.0
46.1732073,89624.2389481,43142.7949159,1.7610298,0.0339883,18.415839,0.0
46.8729151,89624.0984816,43143.4803794,1.7797072,0.0194011,18.415839,0.0
47.5725910,89623.9487302,43144.1638419,1.8139131,0.0783925,18.415839,0.0
48.2721061,89623.7617825,43144.8379130,1.8892370,0.1370144,18.415839,0.0
48.9712906,89623.5113195,43145.4906971,1.9921854,0.1573450,18.415839,0.0
49.6707291,89623.1905716,43146.1122557,2.0865274,0.1124443,18.415839,0.0
50.3703728,89622.8218663,43146.7068629,2.1378833,0.0343912,18.415839,0.0
51.0700801,89622.4389264,43147.2924800,2.1471596,-0.0078732,18.415839,0.0
51.7697826,89622.0592211,43147.8801938,2.1375678,-0.0195437,18.415839,0.0
52.4694858,89621.6875875,43148.4730454,2.1263435,-0.0125393,18.415839,0.0
53.1691950,89621.3211666,43149.0691398,2.1254718,0.0100478,18.415839,0.0
53.8689004,89620.9505659,43149.6626403,2.1382342,0.0264321,18.415839,0.0
54.5685858,89620.5690636,43150.2491689,2.1603764,0.0368590,18.415839,0.0
55.2682744,89620.1725617,43150.8256672,2.1871627,0.0397080,18.415839,0.0
55.9679534,89619.7602037,43151.3909207,2.2120861,0.0315330,18.415839,0.0
56.6676523,89619.3354635,43151.9469552,2.2320366,0.0254936,18.415839,0.0
57.3673580,89618.9008688,43152.4953305,2.2424532,0.0042808,18.415839,0.0
58.0670671,89618.4646312,43153.0424043,2.2396251,-0.0123646,18.415839,0.0
58.7667646,89618.0331503,43153.5932225,2.2218669,-0.0383962,18.415839,0.0
59.4664362,89617.6166365,43154.1554115,2.1885960,-0.0567099,18.415839,0.0
60.1660683,89617.2227729,43154.7336473,2.1440455,-0.0706399,18.415839,0.0
60.8657119,89616.8579504,43155.3306446,2.0966121,-0.0649527,18.415839,0.0
61.5653726,89616.5206171,43155.9436138,2.0581879,-0.0448839,18.415839,0.0
62.2650612,89616.2026841,43156.5668976,2.0352963,-0.0205511,18.415839,0.0
62.9647684,89615.8937379,43157.1947053,2.0255624,-0.0072721,18.415839,0.0
63.6644775,89615.5879893,43157.8240785,2.0199022,-0.0089069,18.415839,0.0
64.3641831,89615.2861706,43158.4553419,2.0072073,-0.0273800,18.415839,0.0
65.0638679,89614.9965087,43159.0922522,1.9768605,-0.0593709,18.415839,0.0
65.7634666,89614.7335776,43159.7405620,1.9180858,-0.1086879,18.415839,0.0
66.4627948,89614.5207274,43160.4067111,1.8174285,-0.1792375,18.415839,0.0
67.1617370,89614.3928745,43161.0938602,1.6626379,-0.2637632,18.415839,0.0
67.8602254,89614.3931092,43161.7923485,1.4611165,-0.3131901,18.415839,0.0
68.5584840,89614.5448492,43162.4739203,1.2480218,-0.2970408,18.415839,0.0
69.2568041,89614.8337225,43163.1096902,1.0479458,-0.2759657,18.415839,0.0
69.9552269,89615.2390796,43163.6784431,0.8591252,-0.2647264,18.415839,0.0
70.6537926,89615.7421992,43164.1630715,0.6759674,-0.2596573,18.415839,0.0
71.3525007,89616.3246150,43164.5490570,0.4865222,-0.2827702,18.415839,0.0
72.0509577,89616.9712240,43164.8131385,0.2739754,-0.3261108,18.415839,0.0
72.7486348,89617.6599801,43164.9243518,0.0277357,-0.3798473,18.415839,0.0
73.4455083,89618.3530324,43164.8514737,-0.2417715,-0.3929924,18.415839,0.0
74.1427283,89619.0008505,43164.5936997,-0.4948429,-0.3325977,18.415839,0.0
74.8410988,89619.5729525,43164.1931742,-0.6874788,-0.2193174,18.415839,0.0
75.5404446,89620.0779027,43163.7093253,-0.8004605,-0.1040469,18.415839,0.0
76.2401158,89620.5465498,43163.1897969,-0.8446739,-0.0223836,18.415839,0.0
76.9398249,89621.0070280,43162.6629643,-0.8545111,-0.0057357,18.415839,0.0
77.6395324,89621.4653871,43162.1342890,-0.8625451,-0.0172284,18.415839,0.0
78.3392287,89621.9173328,43161.6001355,-0.8800984,-0.0329455,18.415839,0.0
79.0389236,89622.3568455,43161.0557077,-0.9029199,-0.0322872,18.415839,0.0
79.7386167,89622.7839466,43160.5014921,-0.9242905,-0.0287982,18.415839,0.0
80.4383146,89623.1997973,43159.9387796,-0.9439173,-0.0273029,18.415839,0.0
81.1380127,89623.6048229,43159.3682257,-0.9617684,-0.0237222,18.415839,0.0
81.8377108,89624.0003229,43158.7910280,-0.9779495,-0.0225290,18.415839,0.0
82.5374150,89624.3866787,43158.2076627,-0.9931858,-0.0210219,18.415839,0.0
83.2371193,89624.7644124,43157.6186776,-1.0069017,-0.0181829,18.415839,0.0
83.9368231,89625.1346220,43157.0249350,-1.0188956,-0.0161000,18.415839,0.0
84.6365287,89625.4981204,43156.4270581,-1.0291695,-0.0132663,18.415839,0.0
85.3362362,89625.8560545,43155.8258312,-1.0366291,-0.0080555,18.415839,0.0
86.0359452,89626.2105948,43155.2225951,-1.0402453,-0.0022809,18.415839,0.0
86.7356546,89626.5641722,43154.6187935,-1.0398665,0.0033635,18.415839,0.0
